anio;jurisdiccion;Empresa;linea
08/2019;NACIONAL;"MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I";"LINEA 59"
08/2019;NACIONAL;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";"LINEA 45"
08/2019;NACIONAL;"MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.";"LINEA 154"
08/2019;NACIONAL;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";"LINEA 19"
08/2019;NACIONAL;"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.";"LINEA 153 BS AS"
08/2019;NACIONAL;"NUDO S.A.";"LINEA 6"
08/2019;NACIONAL;"NUDO S.A.";"LINEA 50"
08/2019;NACIONAL;"NUDO S.A.";"LINEA 150"
08/2019;NACIONAL;"NUDO S.A.";"LINEA 107"
08/2019;NACIONAL;"NUEVOS RUMBOS S.A.T.A.C.I.F.I.";"LINEA 132"
08/2019;NACIONAL;"ROCARAZA S.A.";"LINEA 146"
08/2019;NACIONAL;"ROCARAZA S.A.";"LINEA 31"
08/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES";"LINEA 79"
08/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES";"LINEA 74"
08/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES";"LINEA 51"
08/2019;NACIONAL;"SAN VICENTE S.A. DE TRANSPORTES";"LINEA 177"
08/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE";"LINEA 136 BS AS"
08/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE";"LINEA 163 BS AS"
08/2019;NACIONAL;"SARGENTO CABRAL S.A.DE TRANSPORTE";"LINEA 182"
08/2019;NACIONAL;"SOCIEDAD ANONIMA EXPRESO SUDOESTE";"LINEA 85"
08/2019;NACIONAL;"TRANPORTES VEINTIDOS DE SETIEMBRE S.A.C.";"LINEA 2"
08/2019;NACIONAL;"TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.";"LINEA 7"
08/2019;NACIONAL;"TRANSP. SGTO. CABRAL";"LINEA 102"
08/2019;NACIONAL;"TRANSPORTE ESCALADA S.A.T.";"LINEA 169"
08/2019;NACIONAL;"TRANSPORTE ESCALADA S.A.T.";"LINEA 175"
08/2019;NACIONAL;"TRANSPORTE IDEAL SAN JUSTO S.A.";"LINEA 185"
08/2019;NACIONAL;"TRANSPORTE IDEAL SAN JUSTO S.A.";"LINEA 96"
08/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A.";"LINEA 20"
08/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A.";"LINEA 188"
08/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A.";"LINEA 161"
08/2019;NACIONAL;"TRANSPORTE LARRAZABAL C.I.S.A.";"LINEA 117"
08/2019;NACIONAL;"TRANSPORTE NUEVE DE JULIO SAC.";"LINEA 109"
08/2019;NACIONAL;"TRANSPORTES 1º SEPTIEMBRE S.A.";"LINEA 93"
08/2019;NACIONAL;"TRANSPORTES 270 S.A.";"LINEA 70"
08/2019;NACIONAL;"TRANSPORTES ALMIRANTE BROWN S.A.";"LINEA 33"
08/2019;NACIONAL;"TRANSPORTES ATLANTIDA S.A.C.";"LINEA 57"
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES CALLAO S.A.";"LINEA 12"
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES CALLAO S.A.";"LINEA 124"
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";"LINEA 134"
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";"LINEA 115"
08/2019;NACIONAL;"TRANSPORTES AUTOMOTORES RIACHUELO S.A.";"LINEA 100"
08/2019;NACIONAL;"TRANSPORTES AVENIDA BERNARDO ADER S.A.";"LINEA 130"
08/2019;NACIONAL;"TRANSPORTES COLEGIALES S.A.C.I.";"LINEA 42"
08/2019;NACIONAL;"TRANSPORTES DEL TEJAR S.A.";"LINEA 67"
08/2019;NACIONAL;"TRANSPORTES LINEA 123 S.A.C.I.";"LINEA 123"
08/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I.";"LINEA 91"
08/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I.";"LINEA 76"
08/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I.";"LINEA 56"
08/2019;NACIONAL;"TRANSPORTES LOPE DE VEGA S.A.C.I.";"LINEA 135"
08/2019;NACIONAL;"TRANSPORTES NUEVA CHICAGO C.I.S.A.";"LINEA 80"
08/2019;NACIONAL;"TRANSPORTES QUIRNO COSTA S.A.C.I.";"LINEA 103"
08/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F.";"LINEA 5"
08/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F.";"LINEA 8"
08/2019;NACIONAL;"TRANSPORTES RIO GRANDE S.A.C.I.F.";"LINEA 23"
08/2019;NACIONAL;"TRANSPORTES SAN CAYETANO S.A.C.";"LINEA 1"
08/2019;NACIONAL;"TRANSPORTES SANTA FE S.A.C.I.";"LINEA 39"
08/2019;NACIONAL;"TRANSPORTES SESENTA Y OCHO S.R.L.";"LINEA 68"
08/2019;NACIONAL;"TRANSPORTES SOL DE MAYO C.I.S.A.";"LINEA 4"
08/2019;NACIONAL;"TRANSPORTES SUR-NOR C.I.S.A.";"LINEA 15"
08/2019;NACIONAL;"TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA";"LINEA 181"
08/2019;NACIONAL;"UNION TRANSPORTISTAS DE EMPRESAS SA";"LINEA 46"
08/2019;NACIONAL;"VUELTA DE ROCHA S.A.T.C.I.";"LINEA 64"
07/2019;NACIONAL;"17 DE AGOSTO S.A.";"LINEA 26"
07/2019;NACIONAL;"4 DE SEPTIEMBRE S.A.T.C.P.";"LINEA 37"
07/2019;NACIONAL;"ALMAFUERTE S.A.T.A.C.I.";"LINEA 55"
07/2019;NACIONAL;"AZUL S.A. DE TRANSPORTE AUTOMOTOR";"LINEA 41"
07/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A.";"LINEA 113"
07/2019;NACIONAL;"BERNARDINO RIVADAVIA S.A.T.A.";"LINEA 63"
07/2019;NACIONAL;"BUENOS AIRES BUS SOCIEDAD ANONIMA";"LINEA 49"
07/2019;NACIONAL;"BUS DEL OESTE S.A.";"LINEA 97"
07/2019;NACIONAL;"CARDENAS S.A. EMPRESA DE TRANSPORTES";"LINEA 126"
07/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A.";"LINEA 106"
07/2019;NACIONAL;"COLECTIVEROS UNIDOS S.A.";LINEA_099
07/2019;NACIONAL;"COMPAÑÍA MICROOMNIBUS LA COLORADA SACI";"LINEA 178"
07/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";"LINEA 101"
07/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";"LINEA 28"
07/2019;NACIONAL;"D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR";"LINEA 44"
07/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA";"LINEA 86"
07/2019;NACIONAL;"D.U.V.I. SOCIEDAD ANONIMA";"LINEA 193"
07/2019;NACIONAL;"EL NUEVO HALCON S.A.";"LINEA 148"
07/2019;NACIONAL;"EL PUENTE S.A.T.";"LINEA 128"
07/2019;NACIONAL;"EL PUENTE S.A.T.";"LINEA 158"
07/2019;NACIONAL;"EL PUENTE S.A.T.";"LINEA 32"
07/2019;NACIONAL;"EL PUENTE S.A.T.";"LINEA 75"
07/2019;NACIONAL;"EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.";"LINEA 29"
07/2019;NACIONAL;"EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.";"LINEA 92"
07/2019;NACIONAL;"EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.";"LINEA 24"
07/2019;NACIONAL;"EMPRESA ANTARTIDA ARGENTINA S.A.T.";"LINEA 95"
07/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";"LINEA 108"
07/2019;NACIONAL;"EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A";"LINEA 21"
07/2019;NACIONAL;"EMPRESA DE TRANSPORTES AMERICA S.A.C.I.";"LINEA 105"
07/2019;NACIONAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 166"
07/2019;NACIONAL;"EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.";"LINEA 152"
07/2019;NACIONAL;"ERSA URBANO";"LINEA 133"
07/2019;NACIONAL;"ERSA URBANO";"LINEA 140"
07/2019;NACIONAL;"ERSA URBANO";"LINEA 184"
07/2019;NACIONAL;"EXPRESO GENERAL SARMIENTO S.A.";"LINEA 176"
07/2019;NACIONAL;"EXPRESO LOMAS S.A.";"LINEA 112"
