anio;jurisdiccion;Empresa;linea
09/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";"LINEA 500B"
09/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L.";"LINEA 518"
09/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 634"
09/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 504 ITUZAINGO"
09/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 504A"
09/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";"LINEA 548"
09/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501";"LINEA 501C"
09/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 508C"
09/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA OESTE"
09/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 561B"
09/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";"LINEA 501B"
09/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L.";"LINEA 506A"
09/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L.";"LINEA 502A"
09/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L.";"LINEA 501D"
09/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A.";"LINEA 503 ESTE"
09/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A.";"LINEA 518 LA PLATA"
09/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 510A"
09/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 564"
09/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 580"
09/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 582"
09/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I.";"LINEA 506F"
09/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 570"
09/2019;MUNICIPAL;"LA CABAÑA S.A.";"LINEA 624"
09/2019;MUNICIPAL;"LA CABAÑA S.A.";"LINEA 635 BS AS"
09/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA";"LINEA 520A"
09/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A.";"LINEA 740"
09/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL";"LINEA 509"
09/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";"LINEA 501I"
09/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";"LINEA 630"
09/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C.";"LINEA 502"
09/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 509D"
09/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 503 B"
09/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A.";"LINEA 520B"
09/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A";"LINEA 521 A"
09/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A";"LINEA 526"
09/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";"LINEA 707"
09/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL";"LINEA 721"
09/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A";"LINEA 501E"
09/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A";"LINEA 504C"
09/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A";"LINEA 583"
09/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";"LINEA 584"
09/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";"LINEA 603"
09/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";"LINEA 619"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 513A"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 508A"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 720"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 511A"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 506B"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 505C"
09/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 505A"
09/2019;MUNICIPAL;"MICROEXPRES S.A.";"LINEA 503 ESTE LA PLATA"
09/2019;MUNICIPAL;"NUEVO IDEAL S.A.";"LINEA 620"
09/2019;MUNICIPAL;"PILAR BUS S.A";"LINEA 510B"
09/2019;MUNICIPAL;"RUTA BUS S.A.";"LINEA 501H"
09/2019;MUNICIPAL;"RUTA BUS S.A.";"LINEA 511B"
09/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES";"LINEA 503C"
09/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE";"LINEA 741"
09/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L";"LINEA 503H"
09/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 503E"
09/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 500C"
09/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 501F"
09/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 502B"
09/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L.";"LINEA 515"
09/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A.";"LINEA 621"
09/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A.";"LINEA 501G"
09/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A.";"LINEA 500"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 512"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 513"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 511"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 509C"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 507"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 506"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 500H"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 508"
09/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 503"
09/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";"LINEA 500D"
09/2019;MUNICIPAL;"UNION PLATENSE SRL";"LINEA_NORTE MUNICIPAL"
09/2019;MUNICIPAL;"UNION PLATENSE SRL";"LINEA 520C"
09/2019;MUNICIPAL;"UNION PLATENSE SRL";"LINEA 502 SUR"
09/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";"LINEA 503A BS AS"
09/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";"LINEA 723"
09/2019;MUNICIPAL;"UTENOR SA L 722";"LINEA 722"
09/2019;MUNICIPAL;"YITOS S.A.";"LINEA 561"
09/2019;MUNICIPAL;"YITOS S.A.";"LINEA 544"
09/2019;MUNICIPAL;"YITOS S.A.";"LINEA 543"
09/2019;MUNICIPAL;"YITOS S.A.";"LINEA 541"
09/2019;MUNICIPAL;"YITOS S.A.";"LINEA 562"
08/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 628"
08/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 622"
08/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";"LINEA 514"
08/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 553 BSAS"
08/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 552 BSAS"
08/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 550 BSAS"
08/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 540 BSAS"
08/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";"LINEA 523"
08/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 585"
08/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 586"
08/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 670"
08/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 507B"
08/2019;MUNICIPAL;"COMPAÑIA ISLEÑA S.R.L.";"LINEA 504B"
08/2019;MUNICIPAL;"COMPAÑIA MICROOMNIBUS LA COLORADA SACI";"LINEA 505 D"
08/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"LINEA 6JUL"
08/2019;MUNICIPAL;"EL URBANO SRL";"LINEA 522"
08/2019;MUNICIPAL;"EL URBANO SRL";"LINEA 527"
08/2019;MUNICIPAL;"EMPRESA 501 SA";"LINEA 501 A"
08/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L.";"LINEA 524"
08/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA";"LINEA 710"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 505 AMBA ALMIRANTE BROWN"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 506 AMBA ALMIRANTE BROWN"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 521 AMBA ALMIRANTE BROWN"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";"LINEA 749"
08/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";"LINEA 500B"
08/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L.";"LINEA 518"
08/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 504 ITUZAINGO"
08/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 504A"
08/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 634"
08/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";"LINEA 548"
08/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501";"LINEA 501C"
08/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 508C"
08/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 561B"
08/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA OESTE"
08/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";"LINEA 501B"
08/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L.";"LINEA 506A"
08/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L.";"LINEA 501D"
08/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L.";"LINEA 502A"
08/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A.";"LINEA 503 ESTE"
08/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A.";"LINEA 518 LA PLATA"
08/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 564"
08/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 510A"
08/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 580"
08/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 582"
08/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I.";"LINEA 506F"
08/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 570"
08/2019;MUNICIPAL;"LA CABAÑA S.A.";"LINEA 624"
08/2019;MUNICIPAL;"LA CABAÑA S.A.";"LINEA 635 BS AS"
08/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA";"LINEA 520A"
08/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A.";"LINEA 740"
08/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL";"LINEA 509"
08/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";"LINEA 501I"
08/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";"LINEA 630"
08/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C.";"LINEA 502"
08/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 514BA"
08/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 503 B"
08/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 509D"
08/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A.";"LINEA 520B"
08/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A";"LINEA 521 A"
08/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A";"LINEA 526"
08/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";"LINEA 707"
08/2019;MUNICIPAL;"MICRO OMNIBUS GRAL PACHECO SRL";"LINEA 721"
08/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A";"LINEA 501E"
08/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A";"LINEA 504C"
08/2019;MUNICIPAL;"MICRO OMNIBUS PRIMERA JUNTA S.A";"LINEA 583"
08/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";"LINEA 619"
08/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";"LINEA 603"
08/2019;MUNICIPAL;"MICRO OMNIBUS QUILMES S.A.C.I. Y F.";"LINEA 584"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 720"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 513A"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 511A"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 508A"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 506B"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 505C"
08/2019;MUNICIPAL;"MICRO OMNIBUS TIGRE S.A.";"LINEA 505A"
08/2019;MUNICIPAL;"MICROEXPRES S.A.";"LINEA 503 ESTE LA PLATA"
08/2019;MUNICIPAL;"NUEVO IDEAL S.A.";"LINEA 620"
08/2019;MUNICIPAL;"PILAR BUS S.A";"LINEA 510B"
08/2019;MUNICIPAL;"RUTA BUS S.A.";"LINEA 501H"
08/2019;MUNICIPAL;"RUTA BUS S.A.";"LINEA 511B"
08/2019;MUNICIPAL;"SAN VICENTE S.A. DE TRANSPORTES";"LINEA 503C"
08/2019;MUNICIPAL;"SARGENTO CABRAL S.A.DE TRANSPORTE";"LINEA 741"
08/2019;MUNICIPAL;"SERGIO A. RIVAS S.R.L";"LINEA 503H"
08/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 503E"
08/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 502B"
08/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 501F"
08/2019;MUNICIPAL;"TRANSPORTE 11 DE JUNIO S.R.L.";"LINEA 500C"
08/2019;MUNICIPAL;"TRANSPORTE DEL SUR S.R.L.";"LINEA 515"
08/2019;MUNICIPAL;"TRANSPORTE IDEAL SAN JUSTO S.A.";"LINEA 621"
08/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A.";"LINEA 501G"
08/2019;MUNICIPAL;"TRANSPORTES LA PERLITA S.A.";"LINEA 500"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 513"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 512"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 511"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 509C"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 508"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 507"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 506"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 503"
08/2019;MUNICIPAL;"TRANSPORTES SAN JUAN BAUTISTA S.A.";"LINEA 500H"
08/2019;MUNICIPAL;"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.";"LINEA 500D"
08/2019;MUNICIPAL;"UNION PLATENSE SRL";"LINEA_NORTE MUNICIPAL"
08/2019;MUNICIPAL;"UNION PLATENSE SRL";"LINEA 520C"
08/2019;MUNICIPAL;"UNION PLATENSE SRL";"LINEA 502 SUR"
08/2019;MUNICIPAL;"UNION TRANSITORIA COSA CIA TRANSPORTE VECINAL U.T.";"LINEA 503A BS AS"
08/2019;MUNICIPAL;"UTENOR LINEA 723 UNION TRANSITORIA DE EMPRESAS";"LINEA 723"
08/2019;MUNICIPAL;"UTENOR SA L 722";"LINEA 722"
08/2019;MUNICIPAL;"YITOS S.A.";"LINEA 562"
08/2019;MUNICIPAL;"YITOS S.A.";"LINEA 561"
08/2019;MUNICIPAL;"YITOS S.A.";"LINEA 544"
08/2019;MUNICIPAL;"YITOS S.A.";"LINEA 543"
08/2019;MUNICIPAL;"YITOS S.A.";"LINEA 541"
07/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 622"
07/2019;MUNICIPAL;"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I";"LINEA 628"
07/2019;MUNICIPAL;"AUTOBUSES BS AS SRL- TTE LARRAZABAL SRL- UT";"LINEA 514"
07/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 553 BSAS"
07/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 552 BSAS"
07/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 550 BSAS"
07/2019;MUNICIPAL;"AUTOBUSES BUENOS AIRES SRL";"LINEA 540 BSAS"
07/2019;MUNICIPAL;"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL";"LINEA 523"
07/2019;MUNICIPAL;"CIA LA PAZ AMADOR MOURE SACIFIYA";"LINEA 542"
07/2019;MUNICIPAL;"CIA LA PAZ AMADOR MOURE SACIFIYA";"LINEA 551"
07/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 585"
07/2019;MUNICIPAL;"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278";"LINEA 586"
07/2019;MUNICIPAL;"COMPAÑÍA ISLEÑA S.R.L.";"LINEA 670"
07/2019;MUNICIPAL;"COMPAÑÍA ISLEÑA S.R.L.";"LINEA 507B"
07/2019;MUNICIPAL;"COMPAÑÍA ISLEÑA S.R.L.";"LINEA 504B"
07/2019;MUNICIPAL;"COMPAÑÍA MICROOMNIBUS LA COLORADA SACI";"LINEA 505 D"
07/2019;MUNICIPAL;"COOPERATIVA DE TRABAJO 6 DE JULIO LIMITADA";"LINEA 6JUL"
07/2019;MUNICIPAL;"EL URBANO SRL";"LINEA 522"
07/2019;MUNICIPAL;"EL URBANO SRL";"LINEA 527"
07/2019;MUNICIPAL;"EMPRESA 501 SA";"LINEA 501 A"
07/2019;MUNICIPAL;"EMPRESA CINCO DE AGOSTO S.R.L.";"LINEA 524"
07/2019;MUNICIPAL;"EMPRESA CIUDAD DE SAN FERNANDO SA";"LINEA 710"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 505 AMBA ALMIRANTE BROWN"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 506 AMBA ALMIRANTE BROWN"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTE DEL SUR SRL";"LINEA 521 AMBA ALMIRANTE BROWN"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES EL LITORAL S.A.";"LINEA 749"
07/2019;MUNICIPAL;"EMPRESA DE TRANSPORTES SANTA RITA  SRL";"LINEA 500B"
07/2019;MUNICIPAL;"EMPRESA J.M. EZEIZA S.R.L.";"LINEA 518"
07/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 634"
07/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 504A"
07/2019;MUNICIPAL;"EMPRESA LINEA 216 S.A.T.";"LINEA 504 ITUZAINGO"
07/2019;MUNICIPAL;"EMPRESA MICROOMNIBUS LARROQUE LINEA 548 SRL";"LINEA 548"
07/2019;MUNICIPAL;"EMPRESA MONTE GRANDE S.A. LINEA 501";"LINEA 501C"
07/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 508C"
07/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA 561B"
07/2019;MUNICIPAL;"EMPRESA NUEVE DE JULIO S.A.T.";"LINEA OESTE"
07/2019;MUNICIPAL;"EMPRESA TRANSPORTE TRATADO DEL PILAR S.R.L.";"LINEA 501B"
07/2019;MUNICIPAL;"EMRESA MONTERREY S.R.L.";"LINEA 506A"
07/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L.";"LINEA 501D"
07/2019;MUNICIPAL;"EXPRESO EMPALME LOBOS S.R.L.";"LINEA 502A"
07/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A.";"LINEA 503 ESTE"
07/2019;MUNICIPAL;"EXPRESO LA PLATA BUENOS AIRES S.A.";"LINEA 518 LA PLATA"
07/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 510A"
07/2019;MUNICIPAL;"EXPRESO VILLA GALICIA  SAN JOSE S.A.";"LINEA 564"
07/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 582"
07/2019;MUNICIPAL;"EXPRESO VILLA NUEVA S.A.";"LINEA 580"
07/2019;MUNICIPAL;"FUERTE BARRAGAN S.A.T.I.C.I.";"LINEA 506F"
07/2019;MUNICIPAL;"GENERAL TOMAS GUIDO S.A.C.I.F.";"LINEA 570"
07/2019;MUNICIPAL;"LA CABAÑA S.A.";"LINEA 624"
07/2019;MUNICIPAL;"LA CABAÑA S.A.";"LINEA 635 BS AS"
07/2019;MUNICIPAL;"LA CENTRAL DE ESCOBAR SA";"LINEA 520A"
07/2019;MUNICIPAL;"LA PRIMERA DE GRAND BOURG S.A.";"LINEA 740"
07/2019;MUNICIPAL;"LA PRIMERA DE LA ESCONDIDA SRL";"LINEA 509"
07/2019;MUNICIPAL;"LA PRIMERA DE MALVINAS ARGENTINAS UTE";"LINEA 501I"
07/2019;MUNICIPAL;"LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS";"LINEA 630"
07/2019;MUNICIPAL;"LINEA EXPRESO LINIERS S.A.I.Y C.";"LINEA 502"
07/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 514BA"
07/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 509D"
07/2019;MUNICIPAL;"LINEA SESENTA SA";"LINEA 503 B"
07/2019;MUNICIPAL;"MICRO OMNIBUS AVENIDA S.A.";"LINEA 520B"
07/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A";"LINEA 526"
07/2019;MUNICIPAL;"MICRO OMNIBUS ESTE S.A";"LINEA 521 A"
07/2019;MUNICIPAL;"MICRO OMNIBUS GENERAL SAN MARTIN SAC";"LINEA 707"
